01	00	北京
11	03	11	黄龙
11	03	10	黄陵
11	01	西安
11	01	02	长安
11	01	03	临潼
11	01	01	西安
11	01	06	户县
11	01	07	高陵
11	01	04	蓝田
11	01	05	周至
11	06	商洛
11	06	02	洛南
11	06	03	柞水
11	06	01	商洛
11	06	06	丹凤
11	06	07	商南
11	06	04	商州
11	06	05	镇安
11	06	08	山阳
11	07	安康
11	07	02	紫阳
11	07	03	石泉
11	07	01	安康
11	07	06	岚皋
11	07	07	平利
11	07	04	汉阴
11	07	05	旬阳
11	07	08	白河
11	07	09	镇坪
11	07	10	宁陕
11	04	榆林
11	04	02	府谷
11	04	03	神木
11	04	13	榆阳
11	04	01	榆林
11	04	06	靖边
11	04	07	横山
11	04	04	佳县
11	04	05	定边
11	04	08	米脂
11	04	09	子洲
11	04	12	清涧
11	04	11	吴堡
11	04	10	绥德
11	05	渭南
11	05	02	华县
11	05	03	潼关
11	05	01	渭南
11	05	06	富平
11	05	07	蒲城
11	05	04	大荔
11	05	05	白水
11	05	08	澄城
11	05	09	合阳
11	05	11	华阴
11	05	10	韩城
11	08	汉中
11	08	02	略阳
11	08	03	勉县
11	08	01	汉中
11	08	06	城固
11	08	07	西乡
11	08	04	留坝
11	08	05	洋县
11	08	08	佛坪
11	08	09	宁强
11	08	11	镇巴
11	08	10	南郑
11	09	宝鸡
11	09	11	陇县
11	09	03	千阳
11	09	01	宝鸡
11	09	06	凤翔
11	09	07	扶风
11	09	04	麟游
11	09	05	岐山
11	09	08	眉县
11	09	09	太白
11	09	12	陈仓
11	09	10	凤县
11	11	杨凌
11	11	01	杨凌
11	10	铜川
11	10	02	耀县
11	10	03	宜君
11	10	01	铜川
11	10	04	耀州
12	02	青岛
12	02	02	崂山
12	02	01	青岛
12	02	06	胶南
12	02	07	莱西
12	02	04	即墨
12	02	05	胶州
12	02	08	平度
12	03	淄博
12	03	02	淄川
12	03	03	博山
12	03	01	淄博
12	03	06	沂源
12	03	07	桓台
12	03	04	高青
12	03	05	周村
12	03	08	临淄
12	13	威海
12	13	02	文登
12	13	03	荣成
12	13	01	威海
12	13	06	石岛
12	13	04	乳山
12	13	05	成山头
12	01	济南
12	01	02	长清
12	01	03	商河
12	01	01	济南
12	01	06	济阳
12	01	04	章丘
12	01	05	平阴
12	06	潍坊
12	06	02	青州
12	06	03	寿光
12	06	01	潍坊
12	06	06	昌邑
12	06	07	安丘
12	06	04	临朐
12	06	05	昌乐
12	06	08	高密
12	06	09	诸城
12	07	济宁
12	07	02	嘉祥
12	07	03	微山
12	07	01	济宁
12	07	06	金乡
12	07	07	汶上
12	07	04	鱼台
12	07	05	兖州
12	07	08	泗水
12	07	09	梁山
12	07	11	邹城
12	07	10	曲阜
12	04	德州
12	04	02	武城
12	04	03	临邑
12	04	01	德州
12	04	06	乐陵
12	04	07	庆云
12	04	04	陵县
12	04	05	齐河
12	04	08	平原
12	04	09	宁津
12	04	11	禹城
12	04	10	夏津
12	05	烟台
12	05	02	莱州
12	05	03	长岛
12	05	01	烟台
12	05	06	招远
12	05	07	栖霞
12	05	04	蓬莱
12	05	05	龙口
12	05	08	福山
12	05	09	牟平
12	05	11	海阳
12	05	10	莱阳
12	08	泰安
12	08	02	新泰
12	08	01	泰安
12	08	06	宁阳
12	08	04	肥城
12	08	05	东平
12	09	临沂
12	09	02	莒南
12	09	03	沂南
12	09	01	临沂
12	09	06	郯城
12	09	07	蒙阴
12	09	04	苍山
12	09	05	临沭
12	09	08	平邑
12	09	09	费县
12	09	10	沂水
12	16	莱芜
12	16	01	莱芜
12	12	东营
12	12	02	河口
12	12	03	垦利
12	12	01	东营
12	12	04	利津
12	12	05	广饶
